owner_id,full_name,driver_license,address,phone
1,Козлова Ирина Ефимовна,2824 126225,"клх Волоколамск, бул. Базарный, д. 1/1 стр. 933, 838637",84026542351
2,Белов Мирон Изотович,5506 356787,"клх Сибай, ул. Циолковского, д. 684 стр. 11, 413164",8 (525) 534-19-28
3,Сорокина Октябрина Мироновна,4657 246316,"клх Мураши, алл. Речная, д. 7, 139537",8 724 238 84 96
4,Милица Михайловна Полякова,2679 809570,"г. Барнаул, алл. Большая, д. 2/7, 978480",+7 845 146 27 04
5,Дарья Сергеевна Сысоева,9935 191161,"ст. Терскол, алл. Амурская, д. 3 стр. 895, 154303",81171822782
6,Эрнст Федосьевич Силин,7912 133326,"клх Мирный, бул. Королева, д. 9/8 к. 233, 098393",+7 103 105 1834
7,Соболева София Владимировна,1488 198246,"ст. Соловки, алл. Мирная, д. 765 к. 8/1, 065133",+7 (872) 624-7317
8,Таисия Болеславовна Васильева,4582 343962,"ст. Ковров, пр. Вахитова, д. 4/7, 260647",+76872343098
9,Веселов Арефий Анисимович,9279 731262,"г. Тикси, ш. Производственное, д. 491, 193990",81699854353
10,Влас Ефимович Рыбаков,1434 688508,"г. Серпухов, пер. Сиреневый, д. 983 стр. 3, 135427",8 (498) 084-1241
11,Таисия Владиславовна Дорофеева,4257 850800,"клх Нерчинск, бул. Путевой, д. 5/1, 640052",+72786801128
12,Фомин Фортунат Виленович,9928 539898,"г. Миасс, ш. Вокзальное, д. 4 к. 61, 923226",+7 256 342 1607
13,Зыков Родион Иларионович,4611 571029,"п. Апшеронск, алл. Маркса, д. 5 стр. 945, 850142",84019655698
14,Мясников Флорентин Геннадиевич,5557 948749,"клх Салехард, пер. Курортный, д. 7, 595148",+76564823662
15,Антонова Милица Тимуровна,1106 895667,"к. Касимов, ш. Космонавтов, д. 8/8 к. 88, 148951",+7 (433) 200-3791
16,Фирс Георгиевич Терентьев,3615 832052,"с. Корсаков, бул. Садовый, д. 363, 083172",8 (889) 579-86-87
17,Олимпиада Петровна Осипова,7924 456778,"ст. Тотьма, бул. Волочаевский, д. 8 к. 543, 581223",8 231 665 87 60
18,Гаврилов Никита Адамович,5552 263032,"г. Нижний Тагил, ш. Разина, д. 9/9 к. 47, 670656",+7 (729) 806-99-01
19,Кузьмина Октябрина Геннадиевна,4527 900581,"с. Мценск, пр. Энгельса, д. 7, 641708",+7 531 003 3092
20,Мухин Викентий Григорьевич,6514 207175,"ст. Нягань, пер. Донской, д. 24, 496631",83149190586
21,Виноградова Прасковья Львовна,2519 498382,"ст. Сургут (Хант.), пр. Коммунаров, д. 3/7, 849877",8 945 314 73 79
22,Щербакова Лукия Алексеевна,2584 476417,"п. Сузун, наб. Отрадная, д. 5, 808313",8 783 777 01 43
23,Илья Ефремович Нестеров,6635 733052,"д. Тутаев, пр. Тургенева, д. 8 к. 5, 313518",+7 (337) 498-94-13
24,Мирослав Вячеславович Антонов,5333 946335,"к. Балтийск, пер. Гагарина, д. 27, 947775",+7 (047) 116-71-90
25,Корнилов Феоктист Ефимьевич,1711 865179,"г. Усть-Ордынский, пер. Космический, д. 8/8 к. 7, 990913",+7 (412) 328-1206
26,Чеслав Харитонович Калинин,8527 662275,"к. Липецк, ш. Просвещения, д. 434 стр. 2/9, 242102",+79947174648
27,Быкова Анжелика Эльдаровна,3045 496922,"клх Мостовской, наб. Заводская, д. 139 стр. 1, 787429",8 717 565 51 25
28,Серафим Ермилович Нестеров,2291 678856,"с. Верхний Тагил, наб. Шевченко, д. 168 к. 7/1, 859770",+7 (482) 477-1093
29,Никифорова Таисия Андреевна,5803 969693,"п. Гагарин, ул. Сенная, д. 5/9 к. 7, 737826",+7 (982) 146-5840
30,Лаврентий Эдгардович Князев,6925 705397,"д. Стерлитамак, наб. Репина, д. 6/4 к. 79, 605766",+7 (702) 895-17-18
31,Агафья Вениаминовна Исакова,4150 838797,"с. Кунгур, пер. Розы Люксембург, д. 758 к. 8, 913431",8 117 240 05 04
32,Петр Виленович Николаев,2139 148050,"п. Игарка, пер. Кошевого, д. 37, 747407",+78217594647
33,Евпраксия Натановна Красильникова,4733 910620,"п. Омск, наб. Калинина, д. 1 стр. 5/1, 974395",+7 (394) 210-4709
34,Влас Бенедиктович Буров,5741 183667,"клх Пушкин, алл. Шахтерская, д. 9, 247451",8 (123) 685-16-04
35,Панова Маргарита Захаровна,4814 205907,"г. Кировск (Ленин.), ул. Чернышевского, д. 81 к. 7, 200471",+7 382 675 86 92
36,Антонина Рудольфовна Горбачева,7227 391476,"г. Обнинск, пр. 9 Января, д. 25, 850643",+7 713 900 53 29
37,Никонов Фадей Глебович,8428 766563,"к. Дубна, ул. Энергетическая, д. 92 стр. 3, 020539",8 024 026 8117
38,Митофан Якубович Капустин,6977 270555,"д. Кижи, ул. Мичурина, д. 1/1 стр. 7/7, 771159",+7 (124) 998-56-98
