owner_id,full_name,driver_license,address,phone
1,Ефремова Алла Богдановна,5839 518900,"ст. Оленек, пр. 8 Марта, д. 7, 450384",+7 (579) 652-60-78
2,Данилова Глафира Тимофеевна,2284 432760,"клх Норильск, пр. Производственный, д. 746 к. 145, 466368",8 518 638 18 73
3,Ильина Екатерина Степановна,2136 927843,"п. Сузун, ш. Кузнецкое, д. 4 стр. 7/7, 698967",+7 (296) 504-88-58
4,Наум Теймуразович Куликов,3615 216771,"п. Благовещенск (Амур.), наб. Клубная, д. 6, 454571",+70836843722
5,Ильина Анжела Ниловна,7987 615835,"к. Арсеньев, наб. Родниковая, д. 8, 341908",+7 (682) 805-49-20
6,Алексеева Лидия Юльевна,7606 870859,"к. Уварово, ш. Огородное, д. 404 стр. 92, 531896",8 (957) 154-8193
7,Гордей Ааронович Шубин,1074 960467,"ст. Крымск, наб. Огородная, д. 4, 442472",8 692 698 7010
8,Лебедева Ия Степановна,9569 738092,"ст. Чулым, ш. Лазурное, д. 643 стр. 41, 653675",8 (239) 788-3566
9,Бобров Антип Артурович,7699 146372,"к. Верхний Тагил, пр. Механизаторов, д. 135, 740830",8 (111) 324-1194
10,Вишнякова Элеонора Вячеславовна,2452 120690,"ст. Назрань, пер. Дружбы, д. 60 к. 916, 162063",8 618 611 8917
11,Степанова Валентина Александровна,7194 547949,"ст. Ряжск, ш. Литейное, д. 521 к. 8/7, 115040",8 (041) 375-4423
12,Кабанов Валерий Дмитриевич,6199 630238,"к. Качканар, пр. Краснознаменный, д. 3, 141530",8 (830) 031-57-91
13,Агата Григорьевна Михеева,8303 626424,"клх Ухта, наб. Проточная, д. 7/2, 130561",+7 723 914 68 01
14,Полина Захаровна Ермакова,3622 839960,"с. Ревда (Сверд.), ул. Социалистическая, д. 6/5 стр. 777, 544933",+7 392 321 7517
15,Кондрат Алексеевич Рыбаков,6086 235722,"клх Усть-Катав, пр. Космодемьянской, д. 595, 065791",+7 (250) 446-05-44
16,Кудряшов Гостомысл Иосифович,7054 988701,"с. Самара, алл. Марта 8, д. 3/2 стр. 69, 213959",80048765203
17,Прохор Иосипович Веселов,7906 478046,"клх Игнашино, ул. Заовражная, д. 118, 761878",+7 994 664 66 79
18,Варвара Геннадьевна Белякова,3142 892158,"г. Майкоп, ш. Торговое, д. 2 стр. 16, 782756",+7 839 179 3277
19,Василиса Семеновна Захарова,4580 683838,"д. Славянск-на-Кубани, ул. Щербакова, д. 506 стр. 2, 047706",8 625 833 93 03
20,Майя Даниловна Денисова,6400 362713,"к. Наро-Фоминск, наб. Юбилейная, д. 36 к. 5/1, 251433",8 (311) 109-1571
21,Ершов Андрон Александрович,1680 758457,"г. Териберка, пр. Революции, д. 3, 080512",+7 881 907 7602
22,Козлова Маргарита Максимовна,5924 856965,"д. Вилюйск, пер. Красина, д. 42 стр. 59, 766874",86154057237
23,Милан Глебович Мамонтов,5826 756415,"г. Тольятти, бул. Путейский, д. 94, 338931",8 (713) 794-98-10
24,Журавлева Ксения Валериевна,6517 118625,"д. Курган, пр. Садовый, д. 227 стр. 1/1, 048743",81837067255
25,Тамара Артемовна Антонова,4810 702156,"г. Вологда, пер. Пушкинский, д. 9, 299804",+7 (945) 628-18-27
26,Конон Давыдович Федосеев,7543 303044,"к. Нефтегорск (Самар.), ш. Ручейное, д. 5 стр. 2/2, 789567",8 385 919 1280
27,Мамонтова Антонина Оскаровна,9634 308129,"п. Мелеуз, наб. Глинки, д. 3 к. 135, 973848",+7 321 621 5975
28,Лазарева Евпраксия Алексеевна,5157 495324,"п. Кашира, бул. Ленинский, д. 399 стр. 5/9, 104856",+7 646 673 1881
29,Сазонова Виктория Олеговна,7390 731948,"г. Кузнецк, алл. Калужская, д. 4 к. 54, 190865",8 574 331 90 69
30,Карпов Виссарион Ефимьевич,1371 648588,"ст. Павловская, ул. Абрикосовая, д. 2/1, 054230",+7 (743) 275-3171
31,Арсений Иларионович Соболев,2962 369997,"к. Томск, наб. Братская, д. 1/7 к. 6, 086547",+7 539 952 64 93
32,Тарасова Марфа Натановна,5820 736652,"клх Малгобек, ш. Прохладное, д. 74, 712123",+7 (662) 017-9180
